,title,href,company,description,salary
31,Аналитик (remote),https://spb.hh.ru/vacancy/54588414?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,IT Expert,"Анализ предметной области. Общение с заказчиком, согласование решений. Сбор, анализ, управление требованиями. Формализация и документирование требований. Проектирование ИС (объектная модель...Опыт проектирования и понимание принципов работы реляционных баз данных. Знание различных способов требований (Use Cases, UML диаграммы, User Stories и...",от 150 000 руб.
32,Экономист 1 категории отдела управления обработки данных по крупным потребителям,https://spb.hh.ru/vacancy/52656142?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,АО Петербургская сбытовая компания,"Проверка сверочных отчётов по результатам запуска массовых операций расчёта потребления электроэнергии по показаниям приборов учёта. Экономический анализ данных по начислениям...Высшее образование. Опыт работы в энергетике будет являться преимуществом. Уверенное знание программ MS Word, MS Excel. Грамотная устная и письменная...",от 73 510 руб.
33,Экономист,https://spb.hh.ru/vacancy/48657621?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,АО GS Group,"Контроль и обеспечение своевременного предоставления, формирования и загрузки готовых экономических данных по группе ЦФО. Проверка и анализ данных по блокам...Знание программы 1С, понимание процесса формирования данных и назначения документов. Свободное владение Excel (основные функции, сводные таблицы). ",до 47 800 руб.
34,Менеджер по работе с маркетплейсами (Аналитик),https://spb.hh.ru/vacancy/54923851?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,Фотосклад.ру,"Контроль товародвижения на складах маркетплейсов, сверка по товарным остаткам. Аналитика стока и продаж за период. Формирование заказа, передача прочих документов...Опыт работы с большими массивами информации. Успешный опыт работы товарным аналитиком или менеджером по товародвижению от 1 года. ",60 000 – 80 000 руб.
35,Ведущий экономист,https://spb.hh.ru/vacancy/48220522?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ОАО Машиностроительный завод «Арсенал»,"Взаимодействие с бухгалтерией, сверка данных управленческого и бухгалтерского учета, анализ отклонений. Подготовка статистических и аналитических материалов на основании данных бухгалтерского......факторного анализа. Аналитический склад ума. Умение обрабатывать большие массивы данных с целью формирования отчетов и прогнозов. Знание РСБУ, анализ ФХД. ",90 000 – 100 000 руб.
36,Ведущий экономист планово-экономического отдела,https://spb.hh.ru/vacancy/54778892?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,АО НИИ ПС,"Работа с договорными документами соисполнителей (проверка, согласование, подписание). Анализ РКМ, предъявленных поставщиками ЭКБ и соисполнителями. Контроль себестоимости, план-факт, анализ...Высшее экономическое образование. Знание действующих нормативно-правовых актов в сфере ценообразования по ГОЗ (Постановление Правительства 1465, приказ ФАС 1138/19...",от 55 000 руб.
37,Ведущий экономист финансово-экономического управления,https://spb.hh.ru/vacancy/54898654?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,АО Оборонэнерго,Сбор исходных данных и подготовка отчетных форм в регулирующие органы в соответствии с методикой расчета платы за технологическое присоединение к...Опыт работы по направлению «технологическое присоединение» не менее 3 лет. Знание бухгалтерского учета. Знание методики расчета платы за технологическое присоединение...,72 300 – 77 300 руб.
38,Начальник планово-экономического отдела,https://spb.hh.ru/vacancy/54644695?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО Жилкомсервис №1 Центрального района,"На основе данных бухгалтерского учета проведение анализа исполнения финансового плана. На основе данных бухгалтерского учета и отчетности проведение анализа хозяйственно...Умение работать с большими массивами табличных данных. Навыки проведения финансового анализа, анализа результатов хозяйственной деятельности и экономических показателей. ",от 60 000 руб.
39,Аудитор-Методолог,https://spb.hh.ru/vacancy/54908329?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО РБК,"аудит бухгалтерских баз. - сверки с ИФНС. - экспресс анализ баз. - ввод в работу новых клиентов (постановка учета). - разработка методологии учета и...коммуникабельны. - доброжелательны. - любите профессию. - отлично знаете НК РФ, ПБУ. - умеете перевести НК на простой русский язык. - имеете грамотную речь. - ",от 70 000 руб.
40,Экономист-бухгалтер удалённо,https://spb.hh.ru/vacancy/54522511?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ИП Емельянцева Светлана Арьевна,"Проводить анализ отклонений «план-факт». -Контроль ввода данных , первичной документации. -Осуществлять экономический анализ хозяйственной деятельности предприятия и его подразделений. Высшее экономическое образование. —Опыт работ на аналогичной должности не менее 3 лет. —Знание всех участков бухгалтерского учета и налогового законодательства. —",40 000 – 42 000 руб.
